City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saucillo,28.0167,-105.2833,64.67,25,0,13.15,MX,1611028139
Lorca,37.6712,-1.7017,46.99,83,0,5.01,ES,1611028049
Kununurra,-15.7667,128.7333,91.4,49,75,8.05,AU,1611028034
Shelburne,44.0787,-80.2041,26.01,94,100,3.74,CA,1611028139
Iqaluit,63.7506,-68.5145,23.0,80,90,13.8,CA,1611028139
Batabanó,22.7164,-82.2881,64.4,88,90,3.44,CU,1611028139
Lykhivka,48.6874,33.9228,6.37,94,100,7.02,UA,1611028139
Lhokseumawe,5.1801,97.1507,83.08,69,66,5.64,ID,1611027985
Mangalore,12.8667,74.8833,78.8,73,0,5.75,IN,1611028139
Krasnyy Chikoy,50.3643,108.7512,12.56,91,100,2.48,RU,1611028139
Suleja,9.1758,7.1808,75.16,19,59,9.95,NG,1611028139
Lagoa,39.05,-27.9833,61.05,79,100,33.98,PT,1611028139
Puerto Carreño,6.189,-67.4859,78.53,64,65,8.99,CO,1611028139
Husavik,66.0449,-17.3389,32.0,86,75,19.57,IS,1611028139
Rocha,-34.4833,-54.3333,57.65,77,0,6.35,UY,1611028139
Capiíbary,-24.8,-56.0333,64.62,83,0,3.11,PY,1611028140
Solhan,38.9634,41.0293,23.94,94,100,2.77,TR,1611028140
Arkhara,49.4212,130.0842,-15.99,82,0,1.1,RU,1611028140
The Valley,18.217,-63.0578,79.0,78,20,12.66,AI,1611028009
Gilbués,-9.8317,-45.3439,73.44,61,51,1.21,BR,1611028140
Dryden,49.7833,-92.7503,-2.2,78,90,4.61,CA,1611028080
Puerto Escondido,15.85,-97.0667,77.0,78,1,3.47,MX,1611028140
Acapulco de Juárez,16.8634,-99.8901,77.0,88,20,3.4,MX,1611028065
Vila Franca do Campo,37.7167,-25.4333,61.0,88,75,23.02,PT,1611028140
Calama,-22.4667,-68.9333,57.2,19,20,4.61,CL,1611028140
Prince George,53.9166,-122.753,28.0,100,1,2.39,CA,1611027953
Poum,-20.2333,164.0167,82.51,78,100,5.14,NC,1611028140
Tārāpur,19.85,72.7,77.52,46,0,8.7,IN,1611028140
Saldanha,-33.0117,17.9442,62.6,88,0,5.75,ZA,1611028140
Carutapera,-1.195,-46.02,79.03,79,100,6.33,BR,1611028140
Burnie,-41.0667,145.9167,64.44,37,42,9.13,AU,1611028141
Borovskiy,57.041,65.7202,-7.6,84,0,6.71,RU,1611028141
San Jerónimo,-11.9472,-75.2829,49.91,75,100,2.13,PE,1611028141
Ubari,26.5921,12.7805,40.93,66,0,4.27,LY,1611028141
Panama City,8.9936,-79.5197,77.0,83,90,5.75,PA,1611028050
Gravelbourg,49.8834,-106.5512,28.4,86,100,25.32,CA,1611028141
Novyy Urgal,51.0736,132.5642,-15.07,78,20,1.92,RU,1611028141
Kiunga,-6.1219,141.2906,92.73,49,79,3.74,PG,1611028141
Nemuro,43.3236,145.575,23.0,63,75,12.66,JP,1611027914
East London,-33.0153,27.9116,68.0,83,0,13.8,ZA,1611028141
Diego de Almagro,-26.3667,-70.05,58.69,46,0,2.48,CL,1611028141
Medeiros Neto,-17.3739,-40.2206,69.73,93,3,5.86,BR,1611028141
Severnoye,56.3491,78.3619,-13.99,89,60,9.46,RU,1611028142
Heraclea,37.5133,34.0467,25.68,88,86,2.24,TR,1611028142
Verkhoyansk,67.5447,133.385,-36.13,79,100,1.79,RU,1611028142
Cherskiy,68.75,161.3,-41.6,80,65,5.61,RU,1611028142
Iquitos,-3.7481,-73.2472,75.2,94,75,1.14,PE,1611027971
Mpongwe,-13.5091,28.155,64.78,98,100,4.21,ZM,1611028142
Pryazha,61.6926,33.6216,23.0,93,100,4.47,RU,1611028142
Juneau,58.3019,-134.4197,41.0,81,90,36.82,US,1611028142
Nouakchott,18.0858,-15.9785,62.6,15,100,10.36,MR,1611028142
Salinópolis,-0.6136,-47.3561,78.64,84,99,10.45,BR,1611028142
Chokurdakh,70.6333,147.9167,-34.44,84,3,4.21,RU,1611028142
Severnyy,50.677,36.5532,6.8,85,90,4.47,RU,1611028142
Sharjah city,25.3573,55.4033,62.6,100,90,3.44,AE,1611027877
San Quintín,30.4833,-115.95,61.74,75,78,13.78,MX,1611028143
Baykit,61.67,96.37,-19.01,82,100,2.89,RU,1611028143
Paracuru,-3.41,-39.0306,81.0,74,100,20.0,BR,1611027857
Cabedelo,-6.9811,-34.8339,77.0,88,75,3.44,BR,1611028143
Anori,-3.7728,-61.6442,74.5,96,100,1.43,BR,1611028143
Bhainsdehi,21.6467,77.6325,74.71,39,25,4.23,IN,1611028143
Kahama,-3.8333,32.6,63.72,89,96,2.19,TZ,1611028143
Palauig,15.435,119.9045,84.49,58,52,4.12,PH,1611028143
Flin Flon,54.7682,-101.865,-1.82,92,91,5.35,CA,1611028143
Fes,34.0372,-4.9998,42.8,70,0,6.91,MA,1611028063
Iberia,29.9502,-91.7507,51.8,76,1,6.91,US,1611028143
Port Pirie,-33.1833,138.0167,73.4,43,0,17.27,AU,1611028143
Vaitape,-16.5167,-151.75,81.1,74,2,15.84,PF,1611028143
Bubaque,11.2833,-15.8333,77.74,61,0,11.39,GW,1611028144
Luoyang,34.6836,112.4536,41.0,99,0,11.74,CN,1611028144
Abu Samrah,35.3029,37.1841,44.65,94,100,11.9,SY,1611028144
Rongcheng,30.634,117.8517,55.78,36,0,1.83,CN,1611028144
Greensburg,40.3015,-79.5389,30.2,74,90,10.36,US,1611027908
Mongo,12.1844,18.693,63.01,27,48,7.05,TD,1611028144
Garoua,9.3,13.4,66.42,25,1,3.27,CM,1611028144
Beauchamps,50.012,1.5176,43.0,84,100,26.06,FR,1611028144
Santa Cruz del Sur,20.7147,-77.9956,72.18,86,61,16.17,CU,1611028144
Øksfjord,70.2396,22.3479,30.2,93,56,5.75,NO,1611028144
Anadyr,64.75,177.4833,-27.0,75,0,8.95,RU,1611028144
Donegal,54.65,-8.1167,42.73,90,100,1.83,IE,1611028144
Samarai,-10.6167,150.6667,87.4,69,94,11.48,PG,1611028144
Dinājpur,25.6272,88.6386,71.76,44,0,3.42,BD,1611027903
Riachão das Neves,-11.7461,-44.91,70.52,69,0,1.92,BR,1611028144
Ilhéus,-14.7889,-39.0494,73.4,100,20,4.61,BR,1611027982
Narsaq,60.9167,-46.05,15.8,62,100,4.61,GL,1611028144
Kimbe,-5.5502,150.1429,87.06,69,61,5.48,PG,1611028145
Mlonggo,-6.5333,110.7,77.0,94,75,5.75,ID,1611028145
Grindavik,63.8424,-22.4338,30.2,86,40,24.16,IS,1611028145
Nouadhibou,20.931,-17.0347,62.6,36,0,19.57,MR,1611028145
Port Hawkesbury,45.6169,-61.3485,34.0,75,90,9.22,CA,1611028145
Kudahuvadhoo,2.6708,72.8944,81.79,68,47,7.47,MV,1611028145
Jalu,29.0331,21.5482,49.05,52,0,11.01,LY,1611028145
Tomatlán,19.9333,-105.25,65.44,84,33,2.86,MX,1611028145
Forte dei Marmi,43.9648,10.1724,39.0,99,45,1.01,IT,1611028145
Nantucket,41.2835,-70.0995,37.4,70,1,9.22,US,1611028145
Ketchikan,55.3422,-131.6461,44.6,87,90,20.71,US,1611028145
Kunshan,31.3776,120.9543,52.0,50,0,15.66,CN,1611028146
Taoudenni,22.6783,-3.9836,52.86,39,86,12.77,ML,1611028146
Adrar,20.5022,-10.0711,55.4,33,100,13.31,MR,1611028146
Lagos,6.5833,3.75,77.56,89,20,3.89,NG,1611028146
Manaure,11.7751,-72.4445,78.28,76,100,17.16,CO,1611028146
Isangel,-19.55,169.2667,89.6,74,75,9.22,VU,1611028146
Eureka,40.8021,-124.1637,51.01,83,1,1.01,US,1611028146
Olavarría,-36.8927,-60.3225,67.03,30,0,4.74,AR,1611028146
São Félix do Xingu,-6.6447,-51.995,72.97,94,100,1.28,BR,1611028146
Bonthe,7.5264,-12.505,75.78,84,50,4.38,SL,1611028146
Charyshskoye,51.3978,83.5598,13.62,93,96,1.7,RU,1611028146
Kavieng,-2.5744,150.7967,84.47,70,66,11.14,PG,1611028146
Kashgar,39.4547,75.9797,19.4,73,100,4.47,CN,1611028146
Tabou,4.423,-7.3528,77.72,84,15,4.25,CI,1611028146
Smolenka,52.1352,113.4974,-13.0,70,95,2.24,RU,1611028146
Hamilton,39.1834,-84.5333,34.0,80,90,4.7,US,1611027885
Kamenka,51.3223,42.7678,-7.19,92,76,1.72,RU,1611028146
Divnomorskoye,44.5011,38.1353,21.99,73,100,7.14,RU,1611028147
Golfito,8.639,-83.166,72.36,88,14,2.46,CR,1611028147
Arrecife,28.963,-13.5477,57.2,82,0,6.91,ES,1611028147
Itarema,-2.9248,-39.9167,78.69,80,100,10.38,BR,1611028147
Dumai,1.6833,101.45,84.04,56,96,5.91,ID,1611028147
Dingle,10.9995,122.6711,77.63,88,100,10.2,PH,1611028147
Laurel,39.0993,-76.8483,37.0,48,40,3.44,US,1611028147
Priamurskiy,48.5217,134.9028,-7.6,59,0,24.61,RU,1611028147
Novikovo,51.1537,37.8879,0.75,93,97,1.86,RU,1611028147
Kampot,10.6167,104.1833,80.6,39,0,10.36,KH,1611028147
Lewistown,40.5992,-77.5714,33.8,93,90,4.61,US,1611027916
Paraćin,43.8608,21.4078,21.2,93,75,1.14,RS,1611028147
Usinsk,65.9939,57.5281,-16.85,88,100,14.23,RU,1611028147
Kompaniyivka,48.2511,32.208,6.1,93,100,8.61,UA,1611028148
Kamen'-Rybolov,44.7481,132.0403,-6.48,83,1,4.81,RU,1611028148
San Patricio,28.017,-97.5169,69.8,88,75,18.41,US,1611028148
Cascavel,-24.9558,-53.4553,64.67,100,30,6.62,BR,1611028148
Luau,-10.7073,22.2247,64.63,98,100,3.4,AO,1611028148
La Ronge,55.1001,-105.2842,10.4,79,93,2.3,CA,1611028148
Kaifeng,34.7911,114.3483,35.6,48,0,11.18,CN,1611028148
San Vicente,-26.6167,-54.1333,61.75,90,0,3.94,AR,1611027910
Jalingo,8.8833,11.3667,69.1,23,16,4.7,NG,1611028148
Satun,6.8333,100.0,86.0,61,20,12.66,TH,1611028148
Terrace Bay,48.7834,-87.1,12.2,79,100,5.75,CA,1611028148
Akdağmadeni,39.6603,35.8836,9.1,85,6,2.59,TR,1611028148
Mundo Nuevo (Ojo de Agua),18.7,-95.5,69.98,84,77,7.45,MX,1611028148
Aykhal,66.0,111.5,-52.24,74,48,4.47,RU,1611028149
Souris,49.6172,-100.2612,16.0,85,90,6.91,CA,1611028149
Half Moon Bay,37.4636,-122.4286,66.2,32,1,3.44,US,1611028149
Augustów,53.8432,22.9798,2.68,93,13,6.08,PL,1611028149
Teya,60.3778,92.6267,-6.03,86,100,8.21,RU,1611028149
Abasha,42.2096,42.2211,33.8,100,90,9.22,GE,1611028149
City of San Pedro,14.35,121.0167,82.0,74,90,4.61,PH,1611028149
Hobyo,5.3505,48.5268,76.21,69,42,18.97,SO,1611028149
Stokmarknes,68.5646,14.9108,26.01,86,6,6.51,NO,1611028149
Birao,10.2849,22.7882,65.95,25,75,8.88,CF,1611028149
Abnūb,27.2696,31.1511,46.4,66,0,2.95,EG,1611028150
Ostrovnoy,68.0531,39.5131,16.74,96,92,11.79,RU,1611028150
Stolin,51.8912,26.846,-3.24,92,61,1.81,BY,1611028150
Hualmay,-11.0964,-77.6139,70.25,83,97,5.91,PE,1611028150
Songjianghe,42.1859,127.479,4.98,75,0,5.66,CN,1611028150
Wanning,18.8003,110.3967,67.89,63,9,8.55,CN,1611028150
Te Anau,-45.4167,167.7167,45.16,88,100,11.34,NZ,1611028150
Arawa,-6.2132,155.5367,87.1,58,79,4.45,PG,1611028150
Quimper,48.0,-4.1,50.0,93,90,13.8,FR,1611028150
Fortuna,40.5982,-124.1573,51.01,93,1,5.75,US,1611028150
Marawi,7.9986,124.2928,82.0,84,98,4.0,PH,1611028150
Bahía de Caráquez,-0.6,-80.4167,78.8,78,75,4.61,EC,1611028150
Deputatsky,69.3,139.9,-39.69,84,83,1.97,RU,1611028150
La Santisima Trinidad,-14.8333,-64.9,66.18,83,98,3.18,BO,1611028151
Pangnirtung,66.1451,-65.7125,14.95,83,100,12.5,CA,1611028151
San Esteban,15.2,-85.75,69.8,94,90,1.23,HN,1611028151
Mattru,7.6244,-11.8332,71.6,95,15,2.66,SL,1611028151
Aden,12.7794,45.0367,75.87,74,16,5.82,YE,1611027976
Akdepe,42.0551,59.3788,37.4,87,0,4.61,TM,1611028151
Constitución,-35.3333,-72.4167,57.99,81,0,5.66,CL,1611027956
Khasan,42.4308,130.6434,7.7,76,0,13.27,RU,1611028151
Doha,25.2867,51.5333,66.2,59,0,12.66,QA,1611028151
Guisijan,11.0932,122.0461,80.13,75,100,5.21,PH,1611028151
Moranbah,-22.0016,148.0466,88.09,47,57,12.01,AU,1611028151
Tsabong,-26.0217,22.401,82.35,34,100,10.74,BW,1611028151
Chornukhy,50.2673,32.942,8.19,92,100,6.78,UA,1611028151
Santo Domingo,18.5001,-69.9886,78.01,100,100,4.16,DO,1611027917
Kiruna,67.8557,20.2251,8.6,92,90,3.44,SE,1611028152
São Filipe,14.8961,-24.4956,73.36,65,100,9.75,CV,1611028152
Iquique,-20.2208,-70.1431,69.8,56,0,4.61,CL,1611028152
Senanga,-16.1167,23.2667,66.94,97,100,3.42,ZM,1611028152
Chadiza,-14.0678,32.4392,66.88,95,99,1.74,ZM,1611028152
Pekan,3.4836,103.3996,78.8,78,40,5.75,MY,1611028152
Los Algarrobos,8.5,-82.4333,78.01,86,0,5.26,PA,1611028152
Santa Maria da Vitória,-13.3947,-44.1886,69.28,61,1,1.59,BR,1611028152
Alta Floresta,-9.8756,-56.0861,71.26,98,100,3.53,BR,1611028152
Byron Bay,-28.65,153.6167,84.0,65,75,5.75,AU,1611028152
Dunedin,-45.8742,170.5036,64.99,42,89,15.01,NZ,1611028152
Mineiros,-17.5694,-52.5511,68.56,97,100,2.8,BR,1611028153
Wick,58.4333,-3.0833,35.6,87,40,5.75,GB,1611028153
Tacuarembó,-31.7333,-55.9833,60.91,67,0,5.57,UY,1611028153
Ucluelet,48.9329,-125.5528,39.99,89,70,3.53,CA,1611028016
Paducah,37.0834,-88.6001,44.6,53,90,4.61,US,1611028153
Auki,-8.7676,160.7034,84.88,70,78,1.43,SB,1611028153
Druzhba,52.0428,33.9453,3.9,94,99,3.94,UA,1611028153
Malumfashi,11.7853,7.6218,60.1,31,14,10.56,NG,1611028153
Abu Dhabi,24.4667,54.3667,64.4,94,40,12.1,AE,1611028153
Aklavik,68.2191,-135.0107,3.2,85,100,2.3,CA,1611028153
Auch,43.65,0.5833,37.99,83,14,5.01,FR,1611028153
La Rioja,42.25,-2.5,32.0,93,20,6.46,ES,1611028153
Atakpamé,7.5333,1.1333,73.92,82,10,1.68,TG,1611028153
Nelson Bay,-32.7167,152.15,73.4,64,90,17.27,AU,1611028153
Villa Carlos Paz,-31.4241,-64.4978,71.01,63,0,6.91,AR,1611028154
Abhā,18.2164,42.5053,48.2,70,0,0.47,SA,1611027899
Burē,10.7,37.0667,53.37,42,79,3.94,ET,1611028154
Severobaykal'sk,55.65,109.3167,1.24,91,100,2.3,RU,1611028154
Fare,-16.7,-151.0167,81.37,73,0,14.54,PF,1611028154
Plettenberg Bay,-34.0527,23.3716,66.45,87,2,12.73,ZA,1611028154
Phu Ly,20.5411,105.9139,68.47,39,0,3.6,VN,1611028154
Katsuura,35.1333,140.3,48.2,34,20,21.85,JP,1611028154
Empangeni,-28.762,31.8933,67.23,93,47,4.21,ZA,1611028154
Naze,28.3667,129.4833,62.6,51,75,13.8,JP,1611028154
Sørland,67.667,12.6934,35.82,83,0,18.28,NO,1611028154
Kedrovyy,56.1667,91.8167,10.4,67,40,13.42,RU,1611028154
Biak,-0.9131,122.8766,81.77,73,100,2.19,ID,1611028154
Dwārka,22.2394,68.9678,70.7,49,0,13.31,IN,1611028154
Brandon,27.9378,-82.2859,55.0,93,1,5.26,US,1611028066
Pozo Colorado,-23.4923,-58.7972,68.22,72,2,4.0,PY,1611028155
Rize,40.9044,40.8949,8.49,94,86,3.2,TR,1611028155
Minot,48.2325,-101.2963,26.6,80,90,10.36,US,1611027927
Derzhavīnsk,51.1,66.3167,1.0,91,97,11.5,KZ,1611028155
Yerofey Pavlovich,53.9667,121.9667,-17.14,79,1,2.71,RU,1611028155
El Doncello,1.6782,-75.2847,74.82,72,87,3.31,CO,1611028155
Vicuña,-30.0319,-70.7081,57.2,88,0,5.75,CL,1611028155
Kachug,53.9606,105.8817,14.58,92,100,1.63,RU,1611028155
Karratha,-20.7377,116.8463,102.47,27,11,11.95,AU,1611027956
High Level,58.5169,-117.136,6.8,92,1,2.3,CA,1611028155
Taltal,-25.4,-70.4833,64.76,77,7,2.06,CL,1611028155
Tairua,-37.0167,175.85,78.01,60,63,15.99,NZ,1611028155
Watford,51.6553,-0.396,50.0,93,75,13.8,GB,1611028118
Takoradze,4.8845,-1.7554,78.26,89,1,5.68,GH,1611028155
Buala,-8.145,159.5921,86.56,63,88,7.67,SB,1611028156
Azuaga,38.2667,-5.6833,44.01,79,14,1.99,ES,1611028156
Zhigansk,66.7697,123.3711,-50.33,75,54,6.85,RU,1611028156
Tura,25.5198,90.2201,70.18,46,3,5.88,IN,1611027912
Matagami,49.7502,-77.6328,5.0,85,90,5.75,CA,1611028156
Zomba,-15.386,35.3188,68.2,94,100,0.85,MW,1611028156
Baruun-Urt,46.6806,113.2792,3.22,89,0,9.78,MN,1611028156
Nuevo Progreso,23.1667,-97.95,70.0,66,69,1.01,MX,1611028156
Portland,45.5234,-122.6762,43.0,83,8,1.99,US,1611028148
Pánuco,22.05,-98.1667,69.8,88,75,9.22,MX,1611028156
Karpathos,35.507,27.2132,48.2,53,2,23.02,GR,1611028156
Tagusao,9.1924,117.8141,83.61,68,100,4.54,PH,1611028156
Nhulunbuy,-12.2333,136.7667,86.0,70,40,12.66,AU,1611028157
Batticaloa,7.7102,81.6924,76.19,84,90,11.59,LK,1611028157
Livingston,55.9029,-3.5226,37.99,93,75,2.71,GB,1611028157
Boden,65.8252,21.6886,-0.4,85,90,1.14,SE,1611028157
Mindelo,16.8901,-24.9804,69.8,73,100,21.85,CV,1611028157
Minas,-34.3759,-55.2377,66.99,82,0,4.61,UY,1611028157
Portoferraio,42.8115,10.3146,39.99,77,3,8.81,IT,1611028157
Glasgow,55.8652,-4.2576,41.0,100,75,2.3,GB,1611028117
Margherita,27.2833,95.6833,62.6,82,75,9.22,IN,1611028157
Turaif,31.6725,38.6637,35.6,100,0,9.22,SA,1611028157
Yerbogachën,61.2767,108.0108,-23.69,85,100,9.46,RU,1611028157
Port Keats,-14.25,129.55,91.56,59,99,7.54,AU,1611028158
Arnedo,42.2167,-2.1,33.8,93,20,1.95,ES,1611028158
Shingū,33.7333,135.9833,46.4,42,40,21.85,JP,1611028158
São Luís do Quitunde,-9.3183,-35.5611,73.4,94,0,3.44,BR,1611028158
Gualaquiza,-3.4,-78.55,64.22,89,100,1.28,EC,1611028158
Wahiawā,21.5028,-158.0236,71.6,100,90,12.66,US,1611028158
Santa Isabel Rio Negro,-0.4139,-65.0192,74.44,89,48,1.86,BR,1611028158
Rawson,-43.3002,-65.1023,68.29,56,0,5.12,AR,1611028158
Verkhniy Baskunchak,48.2256,46.7217,7.45,95,100,7.56,RU,1611028158
San Miguel de Tucumán,-26.8241,-65.2226,68.0,83,0,2.71,AR,1611028158
Sabang,5.8933,95.3214,81.0,79,70,17.11,ID,1611028158
Launceston,-41.45,147.1667,68.0,34,62,13.8,AU,1611028158
Fenyi,27.8112,114.6681,55.13,38,0,4.03,CN,1611028158
Rundu,-17.9333,19.7667,65.53,91,100,9.1,NA,1611028158
Nkhata Bay,-11.6066,34.2907,73.26,87,100,4.36,MW,1611028158
Vytegra,61.0064,36.4481,12.87,96,95,5.7,RU,1611028158
Mabaruma,8.2,-59.7833,72.28,97,49,3.33,GY,1611028159
Ewo,-0.8725,14.8206,73.18,80,12,4.09,CG,1611028159
Charlestown,-32.95,151.6667,73.0,76,89,1.99,AU,1611028159
Impfondo,1.6381,18.0667,70.86,81,61,2.91,CG,1611028159
Grand Gaube,-20.0064,57.6608,81.0,84,95,3.0,MU,1611028159
Deer Lake,49.1667,-57.4316,32.0,93,90,5.75,CA,1611028159
Baoshan,46.5586,131.4244,-6.48,81,0,11.79,CN,1611028159
Makakilo City,21.3469,-158.0858,71.6,73,20,11.5,US,1611028159
Dubbo,-32.25,148.6167,89.6,12,0,12.66,AU,1611027867
Sawtell,-30.3833,153.1,80.6,74,1,18.41,AU,1611028159
